date	pdx	nyc
1871	50.0	33.4
1872	30.0	14.1
1873	36.1	60.3
1874	3.2	36.9
1875	28.9	57.8
1876	3.4	18.3
1877	1		40.1
1878	11.5	8.1
1879	18.8	35.7
1880	21.8	22.7
1881	12.3	35.5
1882	3		31.4
1883	25.5	44.0
1884	35.1	43.1
1885	9.3	34.2
1886	19.2	20.8
1887	14		32.9
1888	1.3	45.6
1889	41.6	16.5
1890	13		24.3
1891	0.7	28.8
1892	60.9	25.4
1893	16.5	49.7
1894	23		36.1
1895	9.1	27.0
1896	8.8	46.3
1897	6.5	43.6
1898	23.8	21.1
1899	1.4	55.9
1900	17.1	13.4
1901	7.2	9.1
1902	4.9	30.0
1903	2.4	28.7
1904	2.5	32.3
1905	4.1	48.1
1906	6.5	20.0
1907	1.9	53.2
1908	15.8	33.4
1909	14.5	20.3
1910	5.3	27.2
1911	10.1	25.2
1912	12.5	29.5	
1913	1.5	15.3
1914	0.001	40.5
1915	43.9	28.8
1916	19.6	50.7
1917	6.6	50.7
1918	0.001	34.5
1919	19		3.8
1920	3.2	47.6
1921	6		18.6
1922	22.2	27.8
1923	5		60.4
1924	3.7	27.5
1925	0		29.6
1926	20.4	32.4
1927	7.8	22.3
1928	13.9	14.5
1929	16.4	13.8
1930	0.001	13.6
1931	15.1	11.6
1932	13.7	5.3
1933	0.1	27.0
1934	6.7	52.0
1935	17.0	33.8
1936	34.4	33.2
1937	5.4	15.6
1938	6.0	15.1
1939	0.001	37.3
1940	0		25.7
1941	1.9	39.0
1942	19.3	11.3
1943	0.2	29.5
1944	0.001	23.8
1945	0.6	27.1
1946	2.5	31.4
1947	1.2	30.6
1948	23		63.2
1949	44.5	46.6
1950	13.1	13.8
1951	9.6	11.6
1952	0.001	19.7
1953	10.6	15.1
1954	4.4	15.8
1955	22.4	11.5
1956	8.2	33.5
1957	0.001	21.9
1958	2.9	44.7
1959	12.9	13.0
1960	0.001	39.2
1961	5.6	54.7
1962	5		18.1
1963	0.001	16.3
1964	11.0	44.7
1965	0.6	24.4
1966	0.001	21.4
1967	10.9	51.5
1968	34		19.5
1969	0.001	30.2
1970	10		25.6
1971	5		15.5
1972	6.5	22.9
1973	0.001	2.8
1974	0.1	23.5
1975	0.001	13.1
1976	0.001	17.3
1977	7.7	24.5
1978	8.4	50.7
1979	12.4	29.4
1980	0.001	12.8
1981	4.1	19.4
1982	0.001	24.6
1983	2.4	27.2
1984	7.6	25.4
1985	10.8	24.1
1986	0.1	13.0
1987	3.5	23.1
1988	3.2	19.1
1989	8.3	8.1
1990	1.9	13.4
1991	0		24.9
1992	14.1	12.6
1993	2.6	24.5
1994	5.4	53.4
1995	8.4	11.8
1996	0.001	75.6
1997	8.7	10.0
1998	2		5.5
1999	1		12.7
2000	0.1	16.3
2001	0.6	35.0
2002	0		3.5
2003	12.3	49.3
2004	0.001	42.6
2005	1.9	41.0
2006	3.5	40.0
2007	0.001	12.4
2008	24.2	11.9